State Name,District Name,District Helpline Number,State Helpline Number
Odisha,Sambalpur,1077,9439994859
Odisha,Sonapur,06654 220362,9439994859
Odisha,Sundergarh,06622-272233,9439994859
Punjab,Amritsar,0183-2500398,104
Punjab,Barnala,01679-234777,104
Punjab,Bathinda,0164-2212501,104
Punjab,Faridkot,01639-250947,104
Punjab,Fazilka,01638-264105,
Punjab,Fatehgarh Sahib,01763-232838,104
Punjab,Ferozepur,01632-243703,104
Punjab,Gurdaspur,01874-240990,104
Punjab,Hoshiarpur,01882-252170,104
Punjab,Jalandhar,0181-2224848,104
Punjab,Kapurthala,9914934305,104
Punjab,Ludhiana,0161-4622276,
Punjab,Mansa,0165-2227056,104
Punjab,Moga,0163-6228110,104
Punjab,Nawanshahr,01823-227471,104
Punjab,Pathankot,0186-2230180,104
Punjab,Patiala,0175-5128793,104
Punjab,Roop Nagar,01881-227241,104
Punjab,Sangrur,0167-2298190,104
Punjab,Sri Muktsar Sahib,01633-262664,104
Punjab,SAS Nagar,7814641397,104
Punjab,Tarn-Taran,01852-385115,104
Rajasthan,Ajmer,0145-2628932,0141-2225624
Rajasthan,Alwar,1442338000,0141-2225624
Rajasthan,Banswara,02962-248420,0141-2225624
Rajasthan,Baran,07453-237081,0141-2225624
Rajasthan,Barmer,02982-222226,0141-2225624
Rajasthan,Bharatpur,05644-220388,0141-2225624
Rajasthan,Bhilwara,01482-233030,0141-2225624
Rajasthan,Bikaner,0151-2226031,0141-2225624
Rajasthan,Bundi,0747-2442305,0141-2225624
Rajasthan,Chittorgarh,01472-244923,0141-2225624
Rajasthan,Churu,01562-251322,0141-2225624
Rajasthan,Dausa,01427-224903,0141-2225624
Rajasthan,Dholpur,05642-220033,0141-2225624
Rajasthan,Dungarpur,02964-232262,0141-2225624
Rajasthan,Hanumangarh,01552-260299,0141-2225624
Rajasthan,Jaipur,0141-2204475,0141-2225624
Rajasthan,Jaisalmer,02992-250082,0141-2225624
Rajasthan,Jalor,02977-222216,0141-2225624
Rajasthan,Jhalawar,07432-230645,0141-2225624
Rajasthan,Jhunjhunu,01592-232237,0141-2225624
Rajasthan,Jodhpur,0291-2555560,0141-2225624
Rajasthan,Karauli,07464-251335,0141-2225624
Rajasthan,Kota,0744-2325342,0141-2225624
Rajasthan,Nagaur,01582-240830,0141-2225624
Rajasthan,Pali,02932-222423,0141-2225624
Rajasthan,Pratapgarh,01478-222333,0141-2225624
Rajasthan,Rajsamand,02952-222520,0141-2225624
Rajasthan,Sawai Madhopur,07462-220201,0141-2225624
Rajasthan,Sikar,01572-251008,0141-2225624
Rajasthan,Sirohi,02972-225327,0141-2225624
Rajasthan,Sri Ganganagar,0154-2445067,0141-2225624
Rajasthan,Tonk,01432-247478,0141-2225624
Rajasthan,Udaipur,0294-2414620,0141-2225624
Sikkim,East Sikkim,204995,104
Sikkim,North Sikkim,234538,104
Sikkim,West Sikkim,250999,104
Sikkim,South Sikkim,264442,104
Tamil Nadu,Ariyalur,04329-1077,044-29510500
Tamil Nadu,Chengalpattu,044-1077,044-29510500
Tamil Nadu,Chennai,044-1077,044-29510500
Tamil Nadu,Coimbatore,0422-1077,044-29510500
Tamil Nadu,Cuddalore,04142-1077,044-29510500
Tamil Nadu,Dharmapuri,04342-1077,044-29510500
Tamil Nadu,Dindugul,0451-1077,any
Tamil Nadu,Erode,0424-1077,044-29510500
Tamil Nadu,Kallakurichi,04151-1077,044-29510500
Tamil Nadu,Kancheepuram,044-1077,044-29510500
Tamil Nadu,Kanyakumari,04652-1077,044-29510500
Tamil Nadu,Karur,04324-1077,044-29510500
Tamil Nadu,Krishnagiri,04343-1077,044-29510500
Tamil Nadu,Madurai,0452-1077,044-29510500
Tamil Nadu,Nagapattinam,04365-1077,044-29510500
Tamil Nadu,Namakkal,04286-1077,044-29510500
Tamil Nadu,Perambalur,04328-1077,044-29510500
Tamil Nadu,Pudukottai,04322-1077,044-29510500
Tamil Nadu,Ramanathapuram,04567-1077,044-29510500
Tamil Nadu,Ranipet,0416-1077,044-29510500
Tamil Nadu,Salem,0427-1077,044-29510500
Tamil Nadu,Sivaganga,04575-1077,044-29510500
Tamil Nadu,Tenkasi,0462-1077,044-29510500
Tamil Nadu,Thanjavur,04362-1077,044-29510500
Tamil Nadu,The Nilgiris,0423-1077,044-29510500
Tamil Nadu,Theni,04546-1077,044-29510500
Tamil Nadu,Thoothukudi,0461-1077,044-29510500
Tamil Nadu,Tirunelveli,0462-1077,044-29510500
Tamil Nadu,Tirupattur,04179-1077,044-29510500
Tamil Nadu,Tiruppur,0421-1077,044-29510500
Tamil Nadu,Tiruvallur,044-1077,044-29510500
Tamil Nadu,Tiruvannamalai,04175-1077,044-29510500
Tamil Nadu,Tiruvarur,04366-1077,044-29510500
Tamil Nadu,Trichy,0431-1077,044-29510500
Tamil Nadu,Vellore,0416-1077,044-29510500
Tamil Nadu,Villupuram,04146-1077,044-29510500
Tamil Nadu,Virudhunagar,04562-1077,044-29510500
Tamil Nadu,Ariyalur,04329-1077,044-29510500
Tamil Nadu,Chengalpattu,044-1077,044-29510500
Tamil Nadu,Chennai,044-1077,044-29510500
Tamil Nadu,Coimbatore,0422-1077,044-29510500
Tamil Nadu,Cuddalore,04142-1077,044-29510500
Tamil Nadu,Dharmapuri,04342-1077,044-29510500
Tamil Nadu,Dindigul,0451-1077,044-29510500
Tamil Nadu,Erode,0424-1077,044-29510500
Tamil Nadu,Kallakurichi,04151-1077,044-29510500
Tamil Nadu,Kancheepuram,044-1077,044-29510500
Tamil Nadu,Kanyakumari,04652-1077,044-29510500
Tamil Nadu,Karur,04324-1077,044-29510500
Tamil Nadu,Krishnagiri,04343-1077,044-29510500
Tamil Nadu,Madurai,0452-1077,044-29510500
Tamil Nadu,Nagapattinam,04365-1077,044-29510500
Tamil Nadu,Namakkal,04286-1077,044-29510500
Tamil Nadu,Perambalur,04328-1077,044-29510500
Tamil Nadu,Pudukottai,04322-1077,044-29510500
Tamil Nadu,Ramanathapuram,04567-1077,044-29510500
Tamil Nadu,Ranipet,0416-1077,044-29510500
Tamil Nadu,Salem,0427-1077,044-29510500
Tamil Nadu,Sivaganga,04575-1077,044-29510500
Tamil Nadu,Tenkasi,0462-1077,044-29510500
Tamil Nadu,Thanjavur,04362-1077,044-29510500
Tamil Nadu,The Nilgiris,0423-1077,044-29510500
Tamil Nadu,Theni,04546-1077,044-29510500
Tamil Nadu,Thoothukudi,0461-1077,044-29510500
Tamil Nadu,Tirunelveli,0462-1077,044-29510500
Tamil Nadu,Tirupattur,04179-1077,044-29510500
Tamil Nadu,Tiruppur,0421-1077,044-29510500
Tamil Nadu,Tiruvallur,044-1077,044-29510500
Tamil Nadu,Tiruvannamalai,04175-1077,044-29510500
Tamil Nadu,Tiruvarur,04366-1077,044-29510500
Tamil Nadu,Tiruchirappalli,0431-1077,044-29510500
Tamil Nadu,Vellore,0416-1077,044-29510500
Tamil Nadu,Villupuram,04146-1077,044-29510500
Tamil Nadu,Virudhunagar,04562-1077,044-29510500
Telangana,Adilabad,18004251939,104
Telangana,Bhadradri Kothagudem,8744241950,104
Telangana,Hyderabad,9154686549,104
Telangana,Jagtial,08724 222204,104
Telangana,Jangaon,8247847692,
Telangana,Jayashankar Bhupalpally,08713-248080,104
Telangana,Jogulamba Gadwal,08546-274007,104
Telangana,Kamareddy,7382928649,104
Telangana,Karimnagar,9849902501,104
Telangana,Khammam,7995511298,104
Telangana,Kumuram Bheem,08733-279108,104
Telangana,Mahabubabad,1800-599-1950,
Telangana,Mahabubnagar,08542-241165,104
Telangana,Mancherial,08736-250501,104
Telangana,Medak,08452-223360,104
Telangana,Medchal,9492409781,104
Telangana,Mulugu,1800-425-0520,104
Telangana,Nagarkurnool,08540-230201,104
Telangana,Nalgonda,1800-425-1442,104
Telangana,Narayanpet,08506-282888,104
Telangana,Nirmal,1800-425-5566,104
Telangana,Nizamabad,08462-220183,104
Telangana,Peddapalli,9989071042,104
Telangana,Rajanna Sircilla,6309141122,104
Telangana,Rangareddy,040-23230811,104
Telangana,Sangareddy,08455-272233,104
Telangana,Siddipet,8457230000,
Telangana,Suryapet,1800-425-1972,104
Telangana,Vikarabad,08416-256996,104
Telangana,Wanaparthy,7288064701,104
Telangana,Warangal (Rural),1800 425 3424,104
Telangana,Warangal (Urban),1800 425 1115,104
Telangana,Yadadri Bhuvanagiri,1800 425 7106,104
Tripura,Dhalai,9886866853,0381-2315879
Tripura,Gomati,9436106361,0381-2315879
Tripura,Khowai,03825-222229,0381-2315879
Tripura,North Tripura,9436502453,0381-2315879
Tripura,Sepahijala,9862752963,0381-2315879
Tripura,South Tripura,03823-222145,0381-2315879
Tripura,Unakoti,9862036563,0381-2315879
Tripura,West Tripura,0381-2323945,0381-2315879
