State Name,District Name,District Helpline Number,State Helpline Number
Uttarakhand,Champawat ,05965-230312,104
Uttarakhand,Dehradun ,0135-2724506,104
Uttarakhand,Haridwar ,01334-239920,104
Uttarakhand,Pauri Garhwal,01368-222213,104
Uttarakhand,Pithoragarh ,05964-225142,104
Uttarakhand,Nainital ,05946-281234,104
Uttarakhand,Tehri Garhwal ,01376-232093,104
Uttarakhand,Rudraprayag ,01364-233946,104
Uttarakhand,Udham Singh Nagar,05944-246590,104
Uttarakhand,Uttarkashi ,01374-222641,104
