STATE NAME,District Name,District Helpline Number,State Helpline Number
KARNATAKA,Dharwad,08362-447547,104
KARNATAKA,Gadag,08372-239177,104
KARNATAKA,Gulbarga,08472-278604,104
KARNATAKA,Hassan,08172-261111,104
KARNATAKA,Haveri,08375-249102,104
KARNATAKA,Kodagu,08272 – 221077,104
KARNATAKA,Kolar,08152-243521,104
KARNATAKA,Koppal,08539-225001,104
KARNATAKA,Mandya,08232-224655,104
KARNATAKA,Mysore,0821-2423800,104
KARNATAKA,Raichur,08532-228559,104
KARNATAKA,Ramanagar,8277517672,104
KARNATAKA,Shimoga,08182-221010,104
KARNATAKA,Tumkur,08162-278787,104
KARNATAKA,Udupi,9663957222,104
KARNATAKA,Uttara Kannada,08382-229857,104
KARNATAKA,Yadgir,08473-253950,104
KERALA ,Alappuzha,0477-2239999,0471-2552056 
KERALA ,Ernakulam,0484-2368802,0471-2552056 
KERALA ,Idukki,8547784694,0471-2552056 
KERALA ,Kannur,0497 2700194,0471-2552056 
KERALA ,Kasargod,9037730304,0471-2552056 
KERALA ,Kollam,0474 2797609,0471-2552056 
KERALA ,Kottayam,0481 2304800,0471-2552056 
KERALA ,Kozhikode,"0495 2371471",0471-2552056 
KERALA ,Malappuram,0483 2737858,0471-2552056 
KERALA ,Palakkad,0491 2505264,0471-2552056 
KERALA ,Pathanamthitta,0468 2228220,0471-2552056 
KERALA ,Thiruvananthapuram,0471 2466828,0471-2552056 
KERALA ,Thrissur,9400410720,0471-2552056 
KERALA ,Wayanad,0493 6204151,0471-2552056 
MADHYA PRADESH,Agar Malwa,"07362 292100",104
MADHYA PRADESH,Alirajpur,8815835029,104
MADHYA PRADESH,Anuppur,07543 225501,104
MADHYA PRADESH,Ashok Nagar,07659 222563,104
MADHYA PRADESH,Balaghat,"07632 240102",104
MADHYA PRADESH,Barwani,07290 224966,104
MADHYA PRADESH,Betul,07141 230402,104
MADHYA PRADESH,Bhind,7534230013,104
MADHYA PRADESH,Bhopal,0755 2704201,104
MADHYA PRADESH,Burhanpur,073252 42042,104
MADHYA PRADESH,Chhatarpur,07682 248546,104
MADHYA PRADESH,Chhindwara,"07162 243423",104
MADHYA PRADESH,Damoh,7587986606,104
MADHYA PRADESH,Datia,8461946705,104
MADHYA PRADESH,Dewas,07272 250666,104
MADHYA PRADESH,Dhar,"07292 235707",104
MADHYA PRADESH,Dindori,07644 234600,104
MADHYA PRADESH,Khandwa,"0733 2224545",104
MADHYA PRADESH,Guna,07542 252746,104
MADHYA PRADESH,Gwalior,0751 2461574,104
MADHYA PRADESH,Harda,07577 225007,104
MADHYA PRADESH,Hoshangabad,07574 254446,104
MADHYA PRADESH,Indore,"0731 2567333",104
MADHYA PRADESH,Jabalpur,0761 2637501,104
MADHYA PRADESH,Jhabua,07392 243315,104
MADHYA PRADESH,Katni,07622 422364,104
MADHYA PRADESH,Mandla,7642251079,104
MADHYA PRADESH,Mandsaur,"07422 255596",104
MADHYA PRADESH,Morena,07532 223012,104
MADHYA PRADESH,Narsinghpur,07792 230681,104
MADHYA PRADESH,Neemuch,07423 228501,104
MADHYA PRADESH,Niwari,07659 222563,104
MADHYA PRADESH,Panna,07732 253362,104
MADHYA PRADESH,Raisen,07482 222217,104
MADHYA PRADESH,Rajgarh,07372 255067,104
MADHYA PRADESH,Ratlam,07412 242400,104
MADHYA PRADESH,Rewa,07662 255142,104
MADHYA PRADESH,Sagar,07582 264390,104
MADHYA PRADESH,Satna,07672 231413,104
MADHYA PRADESH,Sehore,07562 226470,104
MADHYA PRADESH,Seoni,7692220323,104
MADHYA PRADESH,Shahdol,9993260440,104
MADHYA PRADESH,Shajapur,07364 226727,104
MADHYA PRADESH,Sheopur,07530 222631,104
MADHYA PRADESH,Shivpuri,07492 233881,104
MADHYA PRADESH,Sidhi,07822 250123,104
MADHYA PRADESH,Singrauli,7587981392,104
MADHYA PRADESH,Tikamgarh,07683 242242,104
MADHYA PRADESH,Ujjain,0734 2520700,104
MADHYA PRADESH,Umaria,7653222314,104
MADHYA PRADESH,Vidisha,07592 237880,104
MAHARASHTRA,Akola,0724-24242444,020-26127394
MAHARASHTRA,Aurangabad,0240 2331077,020-26127394
MAHARASHTRA,Ahmed Nagar,0241-2323844,020-26127394
MAHARASHTRA,Amravati,0721-2662025,020-26127394
MAHARASHTRA,Beed,02442 – 222604,020-26127394
MAHARASHTRA,Bhandara,07184-251222,020-26127394
MAHARASHTRA,Buldhana,07262-242683,020-26127394
MAHARASHTRA,Chandrapur,07172-251597,020-26127394
MAHARASHTRA,Dhule,02562-288066,020-26127394
MAHARASHTRA,Gadchiroli,07132-222031,020-26127394
MAHARASHTRA,Gondia,07182 230196,020-26127394
MAHARASHTRA,Hingoli,02456 222560,020-26127394
MAHARASHTRA,Jalna,02482-223132,020-26127394
MAHARASHTRA,Jalgaon,6366783101,020-26127394
MAHARASHTRA,Kolhapur,0231 2659232,020-26127394
MAHARASHTRA,Latur,02382-220204,020-26127394
MAHARASHTRA,Mumbai City,022 22664232,020-26127394
MAHARASHTRA,Mumbai Suburban,022 26556799,020-26127394
MAHARASHTRA,Nadurbar,02564-210006,020-26127394
MAHARASHTRA,Nagpur,0712-2562668,020-26127394
MAHARASHTRA,Nanded,02462-235077,020-26127394
MAHARASHTRA,Nashik,0253- 2315080,020-26127394
MAHARASHTRA,Osmanabad,02472-225618,020-26127394
MAHARASHTRA,Parbhani,02452-226400,020-26127394
MAHARASHTRA,Palghar,02525-297474,020-26127394
MAHARASHTRA,Pune,020-26122114,020-26127394
MAHARASHTRA,Raigad,02141 222118,020-26127394
MAHARASHTRA,Ratnagiri,02352 226248,020-26127394
MAHARASHTRA,Satara,02162-232349,020-26127394
MAHARASHTRA,Sangli,0233-2600500,020-26127394
MAHARASHTRA,Solapur,0217-2731012,020-26127394
MAHARASHTRA,Sindhudurg,02362 228847,020-26127394
MAHARASHTRA,Thane,"022-25301740",020-26127394
MAHARASHTRA,Yavatmal,07232-240720,020-26127394
MAHARASHTRA,Wardha,07152-243446,020-26127394
MAHARASHTRA,Washim,07252-234238,020-26127394
MANIPUR,Bishnupur,9862551714,3852411668
MANIPUR,Chandel,8974143100,3852411668
MANIPUR,Churachandpur,9862088197,3852411668
MANIPUR,Imphal-East,9612687395,3852411668
MANIPUR,Imphal-West,7005066236,3852411668
MANIPUR,Jiribam,7085344776,3852411668
MANIPUR,Kakching,8974009015,3852411668
MANIPUR,Kamjong,8731934038,3852411668
MANIPUR,Kangpokpi,9402882745,3852411668
MANIPUR,Noney,8730935885,3852411668
MANIPUR,Pherzawl,9862102592,3852411668
MANIPUR,Senapati,9612506122,3852411668
MANIPUR,Tamenglong,9366057183,3852411668
MANIPUR,Tengnoupal,9862923835,3852411668
MANIPUR,Thoubal,8974009015,3852411668
MANIPUR,Ukhrul,9436293451,3852411668
MEGHALAYA,East Khasi Hills,0364-2502094,108
MEGHALAYA,Ri Bhoi,03638-232028,108
MEGHALAYA,West Khasi Hills,8974579811,108
MEGHALAYA,South West Khasi Hills,6909904336,108
MEGHALAYA,West Jaintia Hills,6009693315,108
MEGHALAYA,East Jaintia Hills,7628079707,108
MEGHALAYA,West Garo Hills,6009926806,108
MEGHALAYA,East Garo Hills,9485113132,108
MEGHALAYA,South Garo Hills,7085100406,108
MEGHALAYA,North Garo Hills,9485113132,108
MIZORAM,Aizwal,,102
MIZORAM,Champhai,,102
MIZORAM,Hnahthial,,102
MIZORAM,Khawzawl,,102
MIZORAM,Kolasib,0389-2323336,102
MIZORAM,Lawngtlai,,102
MIZORAM,Lunglei,,102
MIZORAM,Mamit,9612467068,102
MIZORAM,Saiha,03835-222055,102
MIZORAM,Saitual,,102
MIZORAM,Serchhip,6033128124,102
NAGALAND,Dimapur,03862 248530,7005539653
